"Host:","compute-431-9.local",,,,"User:","a57779"
"Cmdline:","dstat -cdm --output is.C.x.csv",,,,"Date:","26 Feb 2016 02:23:57 WET"

"total cpu usage",,,,,,"dsk/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","used","buff","cach","free"
24.092,1.756,74.121,0.028,0.000,0.003,11463.951,494365.759,1015816192.0,368701440.0,8410169344.0,40946307072.0
4.165,0.083,95.752,0.0,0.0,0.0,0.0,0.0,1053573120.0,368701440.0,8410169344.0,40908550144.0
4.087,0.125,95.788,0.0,0.0,0.0,0.0,0.0,1091829760.0,368701440.0,8410169344.0,40870293504.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,1131667456.0,368701440.0,8410169344.0,40830455808.0
4.130,0.083,95.786,0.0,0.0,0.0,0.0,0.0,1169510400.0,368701440.0,8410169344.0,40792612864.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1207386112.0,368701440.0,8410169344.0,40754737152.0
4.130,0.042,95.578,0.250,0.0,0.0,0.0,24576.0,1236738048.0,368701440.0,8410169344.0,40725385216.0
4.167,0.083,95.750,0.0,0.0,0.0,0.0,0.0,1274232832.0,368701440.0,8410169344.0,40687890432.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1311973376.0,368701440.0,8410169344.0,40650149888.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1349844992.0,368701440.0,8410169344.0,40612278272.0
4.214,0.083,95.703,0.0,0.0,0.0,0.0,0.0,1387712512.0,368701440.0,8410169344.0,40574410752.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,1425461248.0,368701440.0,8410169344.0,40536662016.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,1463332864.0,368701440.0,8410169344.0,40498790400.0
4.170,0.042,95.663,0.125,0.0,0.0,0.0,12288.0,1500954624.0,368701440.0,8410169344.0,40461168640.0
4.128,0.083,95.788,0.0,0.0,0.0,0.0,0.0,1540923392.0,368701440.0,8410169344.0,40421199872.0
3.835,0.417,95.748,0.0,0.0,0.0,0.0,0.0,2080903168.0,368701440.0,8410173440.0,39881216000.0
4.128,0.042,95.830,0.0,0.0,0.0,0.0,0.0,2114646016.0,368701440.0,8410173440.0,39847473152.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,2114519040.0,368701440.0,8410173440.0,39847600128.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2114519040.0,368701440.0,8410173440.0,39847600128.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2114519040.0,368701440.0,8410173440.0,39847600128.0
4.208,0.083,95.708,0.0,0.0,0.0,0.0,0.0,2114519040.0,368701440.0,8410173440.0,39847600128.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,2114519040.0,368701440.0,8410173440.0,39847600128.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2114519040.0,368701440.0,8410173440.0,39847600128.0
4.174,0.0,95.826,0.0,0.0,0.0,0.0,0.0,2114519040.0,368701440.0,8410173440.0,39847600128.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2114392064.0,368701440.0,8410173440.0,39847727104.0
4.172,0.042,95.786,0.0,0.0,0.0,0.0,0.0,2114392064.0,368701440.0,8410173440.0,39847727104.0
4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2114392064.0,368701440.0,8410173440.0,39847727104.0
4.208,0.042,95.750,0.0,0.0,0.0,0.0,0.0,2114392064.0,368701440.0,8410173440.0,39847727104.0
4.172,0.0,95.828,0.0,0.0,0.0,0.0,0.0,2114392064.0,368701440.0,8410173440.0,39847727104.0
4.168,0.083,95.748,0.0,0.0,0.0,0.0,0.0,2114265088.0,368701440.0,8410173440.0,39847854080.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2114265088.0,368701440.0,8410173440.0,39847854080.0
4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2114265088.0,368701440.0,8410173440.0,39847854080.0
4.170,0.083,95.746,0.0,0.0,0.0,0.0,0.0,2114138112.0,368701440.0,8410173440.0,39847981056.0